fdn-teaser-headline,fdn-teaser-subheadline,fdn-event-teaser-location-link,fdn-inline-split-list,uk-text-muted,fdn-event-teaser-price,fdn-teaser-tag-link,fdn-teaser-description
Illusions,"First Saturday of every month, 9 p.m.",Cattivo,"146 44th St., Pittsburgh",Lawrenceville,,DJs,"w/ Funerals & Arvin Clay.
          
        
          
            412-687-2157"
TITLE TOWN Soul & Funk Party,"First Saturday of every month, 9 p.m.",Spirit Hall & Lodge,"242 51st St., Pittsburgh",Lawrenceville,,DJs,"Rare Soul, Funk & wild R&B 45s feat. DJ Gordy G. & J.Malls
          
        
          
            412-586-4441"
Requiem,"First Saturday of every month, 10 p.m.-2 a.m.",Cattivo,"146 44th St., Pittsburgh",Lawrenceville,$4.00,Other Music,412-687-2157
The Neighborhood Flea,"Second Sunday of every month, 11 a.m.-5 p.m.",Strip District,"Strip District, Pittsburgh",Strip District,Free,Other Stuff,"This open air, curated flea market is the perfect place to take your mom for a casual stroll on Mother’s Day. Head down to the Neighborhood Flea and pick up a trinket and dance to some music from DJ EZ Lou, all while you drink your morning coffee. Is every restaurant completely booked? Grab some on-the-go gourmet foods from the fleet of food trucks on site, like Pie Bird and Good Chroma. Let Rebecca Bloom read her tarot cards for you for some extra insight. -Celine Roberts"
Arabic for Beginners,"Second and Third Sunday of every month, 2-3 p.m.","Carnegie Library, Oakland","4400 Forbes Avenue, Pittsburgh",Oakland,,Other Stuff,412-622-3114
PFLAG Pittsburgh,"Second Sunday of every month, 2-4:30 p.m.",Third Presbyterian Church,"5701 Fifth Avenue, Pittsburgh",Oakland,,Other Stuff,"Support, education & advocacy for the LGBTQ community, family & friends. http://pflagpgh.weebly.com/."
Pittsburgh Sound Preserve Presents Foundation Improvised Music Series,"Second Sunday of every month, 7-10 p.m.",Bantha Tea Bar,"5002 Penn Ave, Pittsburgh",Garfield,$10-$20,Other Music,"Pittsburgh Sound Preserve is curating ad hoc groupings of folks who
attend Open Improvisation Lab. We hope to create space for more people
to improvise more often. We can commune with each other through
creative expression... right now!

Foundation Improvised Music Series
Every 2nd Sunday

7pm at Bantha Tea Bar
5002 Penn Ave

$10-20 suggested donation

No one turned away for lack of funds!

April 13thth lineup
Darren Moore - bass and electronics
Quinton Steele - voice/guitar/basoon
David Williamson - flutes & found objects
Unfinished Symphonies - guitar/electronics
Ken Lamison - guitar
          
        
          
            (412) 404 8359"
City of Play Game Night,"Second Monday of every month, 7-11 p.m.",Spirit Hall & Lodge,"242 51st St., Pittsburgh",Lawrenceville,Free,Games,"After a long hiatus we are bringing back City of Play's board game nights! Games start at 7 but Monday nights at Spirit come with happy hour specials of fried pizza logs, Tequila drinks, and an experimental weekly menu so you're welcome to stop in anytime!
We are still in the process of re-building our game library and are accepting donations! We will be providing some games but people can certainly bring their own as well!
At 8, a DJ will be playing some quiet easy listening music to game to! So plan for a full night of fun!
          
        
          
            412-586-4441"
Amnesty International Pittsburgh Meeting,"Second Monday of every month, 7 p.m.",First Unitarian Church,"605 Morewood Avenue, Pittsburgh",Shadyside,,Other Stuff,"Monthly meeting.
          
        
          
            412-621-8008"
Board Game Night,"Second Monday of every month, 7 p.m.",Spirit,"242 51st Street, Pittsburgh",Lawrenceville,,Games,"City of Play Board Game night at Spirit. Free to attend. Come out play some games and meet new people!

https://www.facebook.com/CityofPlay/events
          
        
          
            4125864441"
Young Nature Explorers Class,"Second Tuesday of every month, 9:30-11 a.m. & 1-2:30 p.m.",North Park,"Pearce Mill Rd., Allison Park",Allison Park,,Outside,"Getting kids outside, exploring nature. Pre-registration required, 724-935-2170. Latodami Nature Center.
          
        
          
            724-935-1766"
Sensory Friendly Afternoon,"Second Tuesday of every month, 1-5 p.m.",Children's Museum of Pittsburgh,"10 Children's Way, Pittsburgh",North Side,$14-$16,Kidstuff,"Individuals with Autism Spectrum Disorders and Sensory Processing Disorders can enjoy a fun, friendly experience in a comfortable and accepting environment. Announcement and exhibit sound volume will be reduced, and sound reducing headphones will be available. Regular admission rates apply.  
This program is sponsored in part by PA Leadership Charter School.
          
        
          
            412-322-5058"
Open Stage w/ Sadie Freund,"Second Wednesday of every month, 7-11 p.m.",Full Pint Wild Side,"5310 Butler St, Pittsburgh",Lawrenceville,Free,Open Stage,"All musicians, poets, spoken word artists, comedians, rappers, and performers are welcome to share their talents in a judgment free, open-minded setting.
          
        
          
            412-408-3083"
Acoustic Open Stage w/ Henry Bachorski,"Second Wednesday of every month, 7-11 p.m.",Full Pint Wild Side,"5310 Butler St, Pittsburgh",Lawrenceville,No Cover,Open Stage,"An acoustic open stage hosted by Henry Bachorski. All musicians welcome, as well as poets, spoken word artists, and comedians.
          
        
          
            412-408-3083"
One Night Stand hosted by Creatives Drink w/ DJ Nugget & Alex Rivera,"Second Wednesday of every month, 10 p.m.-2 a.m.",The Goldmark,"4517 Butler St, Pittsburgh",Lawrenceville,Free,DJs,"#onenightstand is a free monthly hip-hop & r&b party at The Goldmark hosted by Cody Baker from Creatives Drink and featuring music by DJ Nugget & Alex Rivera.  Every month we raffle off prizes from brands native to Pittsburgh as well as complimentary drink tabs every hour.
          
        
          
            412-688-8820"
The Q Jam,"Second Thursday of every month, 7-9:30 p.m.",Hellbender Vinyl,"5794 Butler St, Pittsburgh",Lawrenceville,Suggested donation,Open Stage,"The Q Jam is a monthly jam session for women, trans, and queer musicians and friends. Bring a song to play with our house band and/or other attendees or just bring yourself and get ready to rock! Our house band kicks off the evening with a few songs and then the jam session is open.
          
        
          
            (412) 587-4387"
Gertrude Stein Political Club of Greater Pittsburgh,"Second Thursday of every month, 7 p.m.",United Cerebral Palsy of Pittsburgh,"4638 Centre Avenue, Pittsburgh",Oakland,,Politics,"Meetings of group devoted to LGBT issues in electoral politics.
          
        
          
            412-521-2504"
Bluegrass Open Jam,"Second Thursday of every month, 7 p.m.",Elwood's Pub,"163 Little Deer Creek Rd, Rural Ridge",Tarentum,,Open Stage,724-265-1181
Live Band Karaoke by Lead Singer Wanted,"Second Thursday of every month, 8 p.m.-12 a.m.",The Bridge Music Bar,"6018 Broad Street, Pittsburgh",East Liberty,Free,Open Stage,"Be a RockStar! Now is your chance to rock out with a live band performing your favorite song. Live band karaoke with ""Lead Singer Wanted"" is just like regular karaoke, except you get to sing with the music performed by a real live backing band. This event is open to everyone.
          
        
          
            412-759-0186"
Caffeinate Your Company,"Second Friday of every month, 8:30-9 a.m.",,,,Free,Meeting,"Hey Small Business Owners!
Entrepreneurship is hard. Don’t do it alone. Join Entrepreneurs Forever on the second Friday of every month at 8:30am on Zoom for a taste of our free peer group program for established small business owners. Stick around from 9:00-9:30am for some caffeine-fueled networking and Q&A. Connect with Blair Mundy at bmundy@e4ever.org to learn more."
Open Mic Coffee House,"Second Friday of every month, 7:30-9 p.m.",South Side Presbyterian Church,"1926 Sarah St., Pittsburgh",South Side,$5,Special,"On Friday, November 8, the South Side Presbyterian Church welcomes all to its monthly Open Mic Coffee House at 7:30 to 9 p.m. Do you have songs or a poem, a dramatic piece, dance, or comedy that you would like to share?  Please call 412-431-0118 or email at kathysspc@aol.com if you would like to share something on stage. Or just come to enjoy others' performances as well as the friendly fellowship with old and new friends. The suggested donation of $5 includes candlelight conversation, the performances, and refreshments. The Church is at the corner of S. 20th and Sarah Streets
          
        
          
            4124310118"
Second Saturday Pittsburgh,"Second Saturday of every month, 9 a.m.-12 p.m.",Northern Tier Regional Library,"4051 Dickey Rd., Gibsonia",Gibsonia,,Other Stuff,"A non-profit providing unbiased divorce education.
          
        
          
            724-449-2665"
Pittsburgh Writers Project - Roundtable Discussions,"Second Saturday of every month, 10 a.m.-12 p.m.",Green Tree Public Library,"10 W. Manilla Ave., Greentree",Green Tree,,Literary,412-921-9292
Saturday Matinee,"Second Saturday of every month, 2 p.m.","Carnegie Library, Oakland","4400 Forbes Avenue, Pittsburgh",Oakland,,Other Stuff,"A new film each month.
          
        
          
            412-622-3114"
Second Saturday at the Spinning Plate,Second Saturday of every month,Spinning Plate Gallery,"5720 Friendship Avenue, Pittsburgh",Friendship,,Other Stuff,"Art exhibits w/ various musical, literary & artistic performances."
Second Saturday Art Workshops,Second Saturday of every month,Trust Arts Education Center,"805-807 Liberty Ave, Pittsburgh",Downtown,,Other Stuff,"Classes in jewelry making, painting, cartooning, puppet making, quilting, more.
          
        
          
            412-471-6079"
Evolution,"Second Saturday of every month, 9:30 p.m.-3 a.m.",Cattivo,"146 44th St., Pittsburgh",Lawrenceville,$5,DJs,"A dance night for those with unique taste, featuring the best in New Wave, Coldwave, Darkwave, Goth, Industrial, Synthpop and more!

ft. DJ Josey

Cash Bar Only - ATM on site
21 and over
          
        
          
            412-687-2157"
2 Hype! Dance Party,"Second Saturday of every month, 10 p.m.-2 a.m.",Remedy,"5121 Butler St., Pittsburgh",Lawrenceville,$3.00,DJs,412-475-8409
Rostraver Sportsmen Club Member Meeting,"Third Monday of every month, 7:30-8:30 p.m.",,,,,Community,Please join us for our monthly meeting. All members are encouraged to attend.
Northside Digital Literacy Class,"Third Tuesday of every month, 12:30-4:30 p.m.",CoLab18 at Nova Place,"100 S. Commons, Pittsburgh",North Side,Free,Other Stuff,"In collaboration with the NorthSide North Shore Chamber of Commerce, NorthSide Works! and One NorthSide, the WIN Workforce Development Program is pleased to offer free or low-cost custom individual and group digital literacy classes to individuals facing economic hardship seeking to remove employment barriers and find sustainable employment.

Each month we will teach basic digital literacy skills and host walk-in hours for the computer lab to help you find sustainable employment. If you are interested in attending the class, please fill out your information here: https://bit.ly/4d5LXBr
          
        
          
            412-904-2669"
Accessible Tech Training @ LBPH,"Third Wednesday of every month, 1-2:30 p.m.",Library for the Blind & Physically Handicapped,"4724 Baum Blvd, Pittsburgh",Oakland,FREE,Other Stuff,"Need assistance with your smartphone or tablet? Join us for a hands-on tech training focusing on your devices accessibility options (voiceover/screen readers, magnification, enlarged fonts, etc). We can help with any operating system (iOS, Android), and any kind of device! Please bring your own device if you have one, if not, feel free to use one of ours!
          
        
          
            412-687-2440"
Pittsburgh Self-inquiry Confrontation Meeting,"Third Wednesday of every month, 7-9 p.m.",Friends Meeting House,"4836 Ellsworth Ave., Pittsburgh",Oakland,free,Other Stuff,"""Who am I?"" is a distinct search for an answer to life's Big Questions. There are ways and means to pursue, authors to be found, teachers who advise, but sincere fellow seekers can be an invaluable source of inspiration and momentum on this path. All serious inquirers are welcome to take part in our Confrontation sessions which question our thinking and rationalizations to reveal obstacles to seeing clearly. Featured: writings of Ramana Maharshi, Nisargadatta, Richard Rose, Franklin Merrell-Wolff, Douglas Harding and others
          
        
          
            412-760-9384"
Books in the Afternoon,"Third Thursday of every month, 1 & 6 p.m.","Carnegie Library, Oakland","4400 Forbes Avenue, Pittsburgh",Oakland,,Literary,"Lively discussions of contemporary fiction.
          
        
          
            412-622-3114"
Landmark Lectures: People & Place - Bishop Benjamin Tucker Tanner & Family,"Third Thursday of every month, 6:30-7:30 p.m.",,,,free with registration,Community,"Matthew Falcone, President of Preservation Pittsburgh, will talk regarding the possibility of applying for a historic marker for Bishop Tanner (1835-1923).  With roots in Pittsburgh, Tanner was a leading clergyman, author, and was editor from 1868-1884 of The Christian Recorder, the largest Black-owned newspaper in the country at the time.   Tanner and his wife Sarah had four children, including Henry Ossawa Tanner, who was the first Black painter to gain international acclaim, as well as Halle Tanner Dillon Johnson, one of the first Black women physicians.
          
        
          
            4122568755"
Reggae Night,"Third Thursday of every month, 6:30-9:45 p.m.",Allegheny City Brewing,"507 Foreland St., Pittsburgh",North Side,Free!,DJs,"Original roots, reggae, dancehall and dub records selected alongside delicious craft beer!  Caribbean Vybz food truck will be providing the itals.
          
        
          
            412-904-3732"
Third Thursday Film Screenings,"Third Thursday of every month, 7 p.m.",PCTV,"1300 Western Ave., Pittsburgh",North Side,,Other Stuff,Screenings of political documentaries followed by discussion.
Real to Reel Documentary Film Series,"Third Thursday of every month, 7 p.m.","Carnegie Library, Oakland","4400 Forbes Avenue, Pittsburgh",Oakland,,Other Stuff,"A different documentary each month.
          
        
          
            412-622-3114"
VIVRANT THING,"Third Thursday of every month, 10 p.m.-2 a.m.",The Goldmark,"4517 Butler St, Pittsburgh",Lawrenceville,Free,DJs,"VIVRANT THING’ features open format vibes from future funk, breaks,
afrobeats , hip hop , soul , and more . JX4 and DJ Nugget + guests
          
        
          
            412-688-8820"
Irish Traditional Music,"Third Friday of every month, 7-10 p.m.",J. Gough's Tavern,"4213 Murray Ave, Pittsburgh",Greenfield,Free,Other Music,"All levels welcome.
          
        
          
            (412) 315-7029"
Open Mic Night,"Third Friday of every month, 8-11 p.m.",Community Forge,"1256 Franklin Ave, Pittsburgh",Wilkinsburg,FREE,Open Stage,"A free night of music, poetry, comedy, and more! Whether you're a seasoned performer or trying something new, our stage is open to all talents. Show off your skills, support local artists, or simply enjoy the show - the choice is yours!

#Kinselland has curated this special night with MC, ANQWENIQUE and legendary band leader, Howie Alexander. Plus, delicious bites available from Very Vegan!

Sign-ups to perform are in-person only, but bop on over to the registration here to express your interest. Register on Eventbrite, and mark your calendars and get ready to be part of a memorable evening at
          
        
          
            412-501-2055"
A Factory Night,"Third Friday of every month, 9 p.m.-2 a.m.",Whisper Nest,"313 North Ave, Millvale",Millvale,Free,DJs,"Every third Friday at the Whisper Nest, DJs Poptone and Brian Siewiorek bring you an eclectic set of classic and modern post-punk, synthpop, goth, Britpop, and other related sounds, culled from the depths of their wax collections. Expect hits and deep cuts from a wide range of bands—from Joy Division to Jesus & Mary Chain; Kate Bush to Kraftwerk; the Cramps to the Cranberries; Echo & the Bunnymen to Elastica!
As always, Factory is a FREE event, so be sure to pass along the savings to the Nest’s wonderful bartenders.
          
        
          
            4123375970"
Noche Latina-Third Saturday,"Third Saturday of every month, 9:15 p.m.-1:30 a.m.",Los Sabrosos Dance Co.,"4909 Penn Ave., Pittsburgh",Bloomfield,$15,Dance,"Dance the night away to Salsa, Bachata, Zouk, Kizomba, & more!

Every First and Third Saturday of the Month!

9:15pm – Mini-Lesson
9:30pm – 1:00am DANCING!

Mini-Lesson + Social: $15
Only Social: $10

4909 Penn Ave
Pittsburgh, PA 15224

At the juncture of Lawrenceville, Garfield, & Friendship neighborhoods!
On the same side as UPMC Children’s Hospital.
Free parking on the street (Penn Ave) and all the neighborhood streets.

BYOA, alcohol only. Los Sabrosos Dance Co. has a cash bar with non-alcoholic beverages on the premises. Free water and cups available.
          
        
          
            4124650290"
Push It!,"Third Saturday of every month, 10 p.m.",Remedy,"5121 Butler St., Pittsburgh",Lawrenceville,,DJs,"DJ Huck Finn, DJ Kelly Fasterchild.
          
        
          
            412-781-6771"
Autumn in Spring,"Mon., May 6, 5:30-7:30 p.m.",Duquesne Club,"325 Sixth Ave., Pittsburgh",Downtown,$85+,Fundraisers,"Autumn in Spring is the annual fundraising gala to support local indie publisher, Autumn House Press. The benefit brings the philanthropic and literary communities together for an evening of celebration and poetry. Notable Pittsburghers are invited to share their favorite poems and speak about how we all—from business executives to sports figures to civic leaders—have a common love for the language of poetry. Before the reading, guests are invited to a hors-d’oeuvre and cocktail reception. The support garnered from Autumn in Spring is essential to Autumn House Press’s sustainability and growth.
          
        
          
            4123622665"
SpaceBurgh,"Sun., Oct. 5, 4-9 p.m.",Allegheny Observatory,"159 Riverview Ave., Pittsburgh",North Side,Free,Festivals,"Pittsburgh’s own space festival returns in 2025!
Join us Sunday, October 5, from 4–9 PM at Riverview Park for SpaceBurgh’s 2nd Annual Festival. Celebrate space, STEM, and culture with hands-on exhibits, live demos, telescope viewing, tours of the historic Allegheny Observatory, a costume contest, local food vendors, and more. Free and family-friendly. Come explore the cosmos right here in Pittsburgh!
          
        
          
            4127352352"
Your ACT with Nonsense,"First Sunday of every month, 7:30-9 p.m. Continues through June 7",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh",Downtown,$7.00,Comedy,"Tonight, the A.C.T. stage is yours! Bring your improv teams, sketch group, or stand-up act for an open mic-style show where the lineup is created on the spot. A perfect opportunity for artists to try something new in a short set and for audiences to see some experimental and cutting-edge comedy. The evening is guided by Nonsense!
          
        
          
            (412) 339-0608"
Adoptable Cat Meet n Greet!,"First Saturday of every month, 12-2 p.m. Continues through Dec. 5",Petco Waterworks,"976 Freeport Rd Rm A2, Pittsburgh",Fox Chapel,,Fundraisers,"Stop by Petco Fox Chapel at Waterworks to meet some adoptable kitties the first Saturday every month! Trash Cat Rescue volunteers will be on site to answer any of your adoption questions and sell some Trash Cat merch. 

Petco also sells critical cat supplies like food and litter, plus incredibly cute enrichment items that keep our fosters healthy and happy. Our volunteers would be grateful to accept any in-kind or monetary donations as well. Check our social media pages for more info!
          
        
          
            (412) 781-6040"
Membership Meeting,"Second Monday of every month, 7-8 p.m. Continues through Dec. 31",Rostraver Sportsmen Club & Conservation Association,"559 Cedar Creek Rd, Rostraver Twp",Belle Vernon,,Politics,"The Rostraver Sportsmen and Conservation Association, located at 559 Cedar Creek Rd. in Belle Vernon, will hold their monthly meeting next Monday at 7:30 PM. All members are encouraged to attend.

Trap shoots will be held every Tuesday from 6:00 PM to 9:00 PM, every Thursday at 10:00 AM till last shooter, and every Saturday at 11:00 AM till last shooter. This event is open to the general public.

For more information, call 412-580-9038 or visit rostraversca.org.
          
        
          
            7248724399"
An Evening with Edgar Allan Poe,"17th of every month, 6 p.m.",Seton-La Salle High School,"1000 McNeilly Rd., Pittsburgh",Mt. Lebanon,$10,Theater,"Will you dare enter the horrifying mind of Edgar Allan Poe? Come join us for a spooky night of theater in the Auditorium at Seton LaSalle Catholic High School, Friday, November 17 and Saturday, November 18, Fall Drama! An Evening with Edgar Allan Poe will take you into the creepiest of Poe's stories, such as ""The Tell-Tale Heart"" and ""The Cask of Amontillado""! Reception 6pm.Curtain 7pm.
          
        
          
            412-561-3583"
Donation-Based Yoga,"Saturdays, Sundays, 7-7:45 a.m.",Frick Park Red Clay Tennis Courts,"800 S. Braddock Ave., Pittsburgh",Point Breeze,donation,Exercise,"Join the Frick Park Clay Tennis Court Club and The Om Lounge for donation based (socially distanced) yoga every Saturday and Sunday morning at 7 AM, weather-permitting. Donations are accepted via credit/debit card, but are not required for participation.  No pre-registration is required at this time. Participants must wear a mask while not on their mat. Please bring your own mat, towel, water, and any other props. Class is all levels and open to the public. Donations support the Frick Park Clay Court Tennis Club."
Pittsburgh Scavenger Hunt: Pittsburgh’s Strength,"Ongoing, 8-10 a.m.",Let's Roam Customer Support,"414 Grant St, Pittsburgh, PA 15219, USA, Pittsburgh",Downtown,$12.99/player,Outside,"Where three rivers meet, you'll find Pennsylvania's great Steel Town. On this fun-filled Pittsburgh scavenger hunt, make a loop around downtown in search of storied buildings, great green spaces, and wondrous sculptures.

Uncover this city's best-kept secrets and make your own history on this scavenger hunt in Pittsburgh!

Some of what you'll see: Fulton Building, Pittsburgh Market Square, Kaufmann Building

Explore The City:
Find the best sights in your city with your group and answer questions that can only be found in person hidden on plaques, statues, art, and more.

Photo Challenges and Activities:
Each person will have an interactiv
          
        
          
            8332027626"
Summer Camp: Let's Get Cultured!,"Ongoing, 9 a.m.-3 p.m.",The Citizen Science Lab,"1699 Washington Road Suite 200, Pittsburgh",Bethel Park,$320,Other Stuff,"Your young scientist will explore the fascinating world of microorganisms and cultures! They'll get hands-on with growing and studying bacteria and fungi in this exciting lab-based camp.

All Summer Campers receive a free TCSL t-shirt!

https://www.thecitizensciencelab.org/programs/summer-camps


Students are responsible for bringing their own lunch. We may have fridge or microwave available upon request. Please do not bring any peanut butter due to allergy concerns.
          
        
          
            4128303100"
Puzzling Adventures Scavenger Hunt,"Ongoing, 10 a.m.-8 p.m.",Puzzling Adventures Start & Finish Location,"629 Smithfield St, Pittsburgh",Downtown,$39.95 with $10 EVENTPASS - price per team,Games,"Consistently rated the best local scavenger hunt since 2016!

Puzzling Adventures are a cross between a scavenger hunt, an adventure race, and an informative self-guided walking tour. Each adventure consists of a series of locations that you are guided to where you are required to answer a question or solve a puzzle to receive your next instruction. Compete as a group, individually or create multiple teams and race each other.

Enter the code EVENTPASS on the payment page for a $10 discount!
          
        
          
            8884338966"
Veterans Day Centennial & All Holidays Music Services & Hospitalities,"Sundays, 10:30 a.m.",Trinity Cathedral,"328 Sixth St., Pittsburgh",Downtown,Free,Holiday,"Sunday, November 11 is not only Veterans Day but the 100th anniversary of the end of the first World War. We will mark the occasion with at our 10:30 A.M. with service of remembrance, honoring those who served and remembering those who were killed during that war. 

Sunday, November 4 at 10:30 A.M. we will celebrate All Saint's Day with a special service including special music from the Trinity Cathedral Choir. 

Service with Music and Choir Followed by Fellowship and Refreshments Sundays @ 10:30 a.m.
          
        
          
            412-232-6404"
"Weekly Dog Friendly Event for Pittsburgh - Sit, Stay, Praise!","Sundays, 11 a.m.-12 p.m.",Jefferson United Methodist Church,"310 Gill Hall Road, Jefferson Hills",Clairton,FREE,Other Stuff,"“Sit, Stay, Praise!” is a dog friendly casual worship service at Jefferson United Methodist Church.  Bring your furry best buddy and enjoy a casual and comfortable time of worship together with music, discussion about God’s word, and fellowship time with others who love their dogs. And be sure to share this with your dog-loving friends too! It’s happening every Sunday at 11 am.  Everyone is welcome, even if you don’t bring a dog, you can still enjoy this dog friendly worship experience.  All canine congregants should be friendly, well-mannered and be current on their vaccinations and flea treatments.
          
        
          
            412-653-3222"
Acoustic Brunch,"Sundays, 11 a.m.-2 p.m.",Thunderbird Café & Music Hall,"4053 Butler Street, Pittsburgh",Lawrenceville,,Open Stage,"Acoustic Brunch welcomes all styles of music, poetry, spoken word, comedy in an open mic format.We also have  'Feature Artist's sandwiched in the middle of our show. 
To top off, we offer some yummy food from our brunch menu too!
          
        
          
            412-682-0177"
Spellbound Escape Room,"Ongoing, 12-9 p.m.",60 Minute Missions Escape Room,"116 E Pittsburgh Street, Lower Level, Greensburg",Greensburg,$25,Games,"Becoming a wizard isn’t easy. You’ve traveled to the magic school and taken the admissions exam, but didn’t pass. As a result, a horrible curse has been placed on you to ensure you don’t attempt further magic as a muggle.

Your train ride home has been summoned, but the door to the wizarding world is within reach. Can you reverse the curse and prove that you have the skills to join the wizarding school before your ride home arrives?
          
        
          
            724-383-6066"
"What They Say, What They Said",Tuesdays-Sundays,Andy Warhol Museum,"117 Sandusky Street, Pittsburgh",North Side,,Visual Art,"A collaboration between The Andy Warhol Museum, BOOM Concepts & Artists Image Resource (AIR). D.S. Kinsel’s mural is the project’s introductory iteration of prints installed on the Rosa Villa, a shuttered building across the street from The Warhol.
          
        
          
            412-237-8300"
Permanent collection,,Andy Warhol Museum,"117 Sandusky Street, Pittsburgh",North Side,,Visual Art,"Artwork & artifacts by the famed Pop Artist.
          
        
          
            412-237-8300"
Permanent collection of European Art,Tuesdays-Sundays,The Frick Pittsburgh,"7227 Reynolds Street, Pittsburgh",Point Breeze,,Visual Art,412-371-0600
Sewickley Heights History Center,Tuesdays-Sundays,Sewickley Heights History Center,"1901 Glen Mitchell Road, Sewickley",Sewickley,,Exhibits,"Museum commemorates Pittsburgh industrialists, local history.
          
        
          
            412-741-4487"
Population Impact,"Mondays, Wednesdays-Sundays",Carnegie Museum of Natural History,"4400 Forbes Avenue, Pittsburgh",Oakland,,Exhibits,"How humans are affecting the environment.
          
        
          
            412-622-3131"
Dinosaurs in Their Time,"Mondays, Wednesdays-Sundays",Carnegie Museum of Natural History,"4400 Forbes Avenue, Pittsburgh",Oakland,,Exhibits,"Displaying immersive environments spanning the Mesozoic Era & original fossil specimens. Permanent.
          
        
          
            412-622-3131"
Wheels for Wishes,Ongoing,,,,,Volunteers,"Car Donation Program Benefiting the Make-A-Wish Foundation.  Free towing. www.wishgreaterpa.org
          
        
          
            1-855-675-WISH"
Pittsburgh Ski Club,,,,,,Outside,"Year-round activities.
          
        
          
            412-281-SKIS"
Girl Scouts Trillium Council,,,,,,Volunteers,"For short & long-term positions to assist troops in the tri-state area.
          
        
          
            724-435-7918"
American Civil Liberties Union,,,,,,Volunteers,"Seeking help in all areas. Oakland.
          
        
          
            412-681-7736"
Twilight Wish Foundation,Ongoing,,,,,Volunteers,"Helping w/ special events.
          
        
          
            1-877-839-9474"
Youth Engaged in Service,,,,,,Volunteers,"One-time volunteer projects for youth 12-21. Pittsburgh Cares, Downtown.
          
        
          
            412-471-2114"
"Southwinds, Inc.",Ongoing,,,,,Volunteers,"Non-profit agency which provides quality residential care and life skills training for adults with developmental challenges throughout Allegheny County.
          
        
          
            724-941-7600 x36"
Ten Thousand Villages,,,,,,Volunteers,"To staff nonprofit store in Squirrel Hill providing income to Third World artisans.
          
        
          
            412-421-2160"
Pittsburgh Center for Creative Reuse,Ongoing,Pittsburgh Center for Creative Reuse,"214 N. Lexington, Pittsburgh",Homewood,,Volunteers,"Seeking volunteers who like to work independently and are interested in art, crafts, DIY, organizing. Help is needed in the shop & assisting w/ staff run programs. Apply online.
          
        
          
            412-473-0100"
Phipps Conservatory & Botanical Garden,Ongoing,Phipps Conservatory & Botanical Gardens,"1 Schenley Park, Pittsburgh",Oakland,,Exhibits,"14 indoor rooms & 3 outdoor gardens feature exotic plants & floral displays from around the world.
          
        
          
            412-622-6914"
Pittsburgh Parrot Rescue,,,,,,Volunteers,"To work tables and seminars, make bird toys, fundraising and more.
          
        
          
            412-761-2268"
GLSEN Pittsburgh,Ongoing,,,,,Volunteers,"Help raise awareness on the importance of creating safe schools, regardless of sexual orientation or gender identity. Social media, email marketing, grant writing, advocacy, fundraising. Contact Adam Pribila at APribila@GLSENPgh.org.
          
        
          
            412-996-2326"
Venture Outdoors,,,,,,Outside,"Sponsoring a wide array of outdoor activities, including rock-climbing, nature walks, fishing, kayaking, canoeing, biking and more at various venues around the region.
          
        
          
            412-255-0564"
Hunger Services Urban League of Pittsburgh,,,,,,Volunteers,"Office and administrative help needed.
          
        
          
            412-325-0746"
Senator John Heinz History Center,Ongoing,Senator John Heinz History Center,"1212 Smallman Street, Pittsburgh",Strip District,,Exhibits,"Ongoing: Western PA Sports Museum, Clash of Empires, & exhibits on local history, more.
          
        
          
            412-454-6000"
Eastern Area Adult Services,,,,,,Volunteers,"To help work the home-delivered meals program at the Turtle Creek & Swissvale Senior Centers.
          
        
          
            412-824-6880"
New Hazlett Theater,Ongoing,New Hazlett Theater,"Allegheny Square East, Pittsburgh",North Side,,Volunteers,"Seeking volunteer ushers. Training & orientation is provided.
          
        
          
            412-320-4610 x 15"
Free Ride! Recycled Bike Collective,Ongoing,Free Ride!,"214 N. Lexington St., Pittsburgh",Homewood,,Volunteers,"Volunteers & bike mechanics needed to staff weekly open shop hours & assist the general public earn bicycles & repair their own.
          
        
          
            412-254-3774"
Voices for Animals of Western PA,,,,,,Volunteers,"Animal advocacy, rescue and adoption and environmental work.
          
        
          
            877-321-4VFA"
Riding for the Handicapped,,,,,,Volunteers,"Seeking staff for the Therapeutic Riding Program. Knowledge of horses is not necessary.
          
        
          
            412-364-9444"
The Lost Artists of the 1893 Chicago Exhibition.,Ongoing,Eclectic Art & Objects Gallery,"8275 Ohio River Blvd, Pittsburgh",Emsworth,,Visual Art,"Collectors Showcase.
          
        
          
            412-734-2099"
East End Community Thrift Shop,,,,,,Fundraisers,"Men's, women's & children's clothing, blankets, sheets, pillows, toys, baby equipment and household items. Garfield.
          
        
          
            412-361-3022"
Pittsburgh Cares,,Pittsburgh Cares,"3505 Butler Street, Pittsburgh",Lawrenceville,,Volunteers,"Various volunteering opportunities available throughout the Greater Pittsburgh Region for adults, families, seniors, youth, and businesses.
          
        
          
            412-471-2114"
Pittsburgh Sports League,,,,,,Outside,"Adult intramural leagues: volleyball, bowling, softball, tennis, basketball and more.
          
        
          
            412-338-2133"
Global Links,,,,,,Volunteers,"Groups & organizations to pack & sort medical supplies for shipment to developing countries.
          
        
          
            412-361-3424 x205"
